cohort_key,match_level,triage_level,age_group,arrival_hour,patient_count,avg_wait_minutes,median_wait_minutes,p90_wait_minutes,avg_los_minutes,median_los_minutes,p90_los_minutes,admission_rate
OVERALL|ALL|ALL|ALL,OVERALL,ALL,ALL,ALL,16025,36.03,14.0,91.0,298.61,191.0,556.0,0.132356
TRIAGE|1|ALL|ALL,TRIAGE,1,ALL,ALL,139,24.95,9.5,55.0,526.65,293.5,1146.0,0.453237
TRIAGE|2|ALL|ALL,TRIAGE,2,ALL,ALL,1595,28.54,12.0,65.0,470.45,290.0,992.0,0.339185
TRIAGE|3|ALL|ALL,TRIAGE,3,ALL,ALL,5340,37.55,15.0,97.0,315.62,228.0,577.0,0.135206
TRIAGE|4|ALL|ALL,TRIAGE,4,ALL,ALL,2826,35.45,15.0,91.0,190.68,132.0,350.0,0.02017
TRIAGE|5|ALL|ALL,TRIAGE,5,ALL,ALL,307,30.76,13.0,79.0,184.47,94.0,338.0,0.029316
TRIAGE|ALL|ALL|ALL,TRIAGE,ALL,ALL,ALL,5818,37.59,14.0,94.0,289.63,171.0,531.0,0.125301
TRIAGE_AGE|1|0-17|ALL,TRIAGE_AGE,1,0-17,ALL,11,40.0,34.0,76.0,208.64,148.0,388.0,0.090909
TRIAGE_AGE|1|18-44|ALL,TRIAGE_AGE,1,18-44,ALL,45,24.47,7.5,39.0,323.78,257.0,636.0,0.444444
TRIAGE_AGE|1|45-64|ALL,TRIAGE_AGE,1,45-64,ALL,32,18.12,8.0,55.0,499.54,375.0,912.0,0.40625
TRIAGE_AGE|1|65-74|ALL,TRIAGE_AGE,1,65-74,ALL,17,26.67,4.0,30.0,693.53,237.0,1535.0,0.529412
TRIAGE_AGE|1|75+|ALL,TRIAGE_AGE,1,75+,ALL,34,24.97,10.5,56.0,809.69,436.5,1391.0,0.588235
TRIAGE_AGE|2|0-17|ALL,TRIAGE_AGE,2,0-17,ALL,201,29.56,19.0,80.0,361.37,246.0,734.0,0.208955
TRIAGE_AGE|2|18-44|ALL,TRIAGE_AGE,2,18-44,ALL,452,29.52,11.0,59.0,468.88,275.5,957.0,0.179204
TRIAGE_AGE|2|45-64|ALL,TRIAGE_AGE,2,45-64,ALL,450,29.46,12.0,65.0,517.75,315.5,1119.0,0.408889
TRIAGE_AGE|2|65-74|ALL,TRIAGE_AGE,2,65-74,ALL,255,28.86,11.5,63.0,452.15,295.0,977.0,0.431373
TRIAGE_AGE|2|75+|ALL,TRIAGE_AGE,2,75+,ALL,237,24.09,9.0,53.0,495.89,337.0,1170.0,0.523207
TRIAGE_AGE|3|0-17|ALL,TRIAGE_AGE,3,0-17,ALL,847,40.15,17.0,106.0,238.43,176.5,414.0,0.054309
TRIAGE_AGE|3|18-44|ALL,TRIAGE_AGE,3,18-44,ALL,1890,38.06,15.0,98.0,290.79,215.0,514.0,0.074603
TRIAGE_AGE|3|45-64|ALL,TRIAGE_AGE,3,45-64,ALL,1367,38.95,14.0,100.0,358.27,254.0,686.0,0.155084
TRIAGE_AGE|3|65-74|ALL,TRIAGE_AGE,3,65-74,ALL,586,36.86,16.0,91.0,366.21,280.0,681.0,0.223549
TRIAGE_AGE|3|75+|ALL,TRIAGE_AGE,3,75+,ALL,650,30.61,13.0,74.0,353.83,250.0,635.0,0.295385
TRIAGE_AGE|4|0-17|ALL,TRIAGE_AGE,4,0-17,ALL,893,40.74,18.0,106.0,158.4,124.0,310.0,0.010078
TRIAGE_AGE|4|18-44|ALL,TRIAGE_AGE,4,18-44,ALL,1125,30.32,14.0,82.0,191.18,124.0,352.0,0.010667
TRIAGE_AGE|4|45-64|ALL,TRIAGE_AGE,4,45-64,ALL,540,35.5,14.0,87.0,221.83,144.0,434.0,0.038889
TRIAGE_AGE|4|65-74|ALL,TRIAGE_AGE,4,65-74,ALL,153,44.24,18.0,115.0,254.01,151.0,400.0,0.03268
TRIAGE_AGE|4|75+|ALL,TRIAGE_AGE,4,75+,ALL,115,33.83,14.0,78.0,208.14,184.0,409.0,0.086957
TRIAGE_AGE|5|0-17|ALL,TRIAGE_AGE,5,0-17,ALL,94,36.42,17.0,110.0,153.37,100.5,331.0,0.042553
TRIAGE_AGE|5|18-44|ALL,TRIAGE_AGE,5,18-44,ALL,111,29.49,13.5,66.0,216.5,94.0,329.0,0.0
TRIAGE_AGE|5|45-64|ALL,TRIAGE_AGE,5,45-64,ALL,58,22.82,12.5,51.0,214.51,85.0,310.0,0.034483
TRIAGE_AGE|5|65-74|ALL,TRIAGE_AGE,5,65-74,ALL,24,50.2,11.5,96.0,143.67,118.5,356.0,0.125
TRIAGE_AGE|5|75+|ALL,TRIAGE_AGE,5,75+,ALL,20,11.56,8.5,26.0,120.75,58.0,347.0,0.0
TRIAGE_AGE|ALL|0-17|ALL,TRIAGE_AGE,ALL,0-17,ALL,1381,39.4,16.0,119.0,234.05,146.0,406.0,0.053584
TRIAGE_AGE|ALL|18-44|ALL,TRIAGE_AGE,ALL,18-44,ALL,2053,35.86,15.0,88.0,271.46,157.5,502.0,0.08037
TRIAGE_AGE|ALL|45-64|ALL,TRIAGE_AGE,ALL,45-64,ALL,1256,40.28,14.0,87.0,316.86,183.0,643.0,0.133758
TRIAGE_AGE|ALL|65-74|ALL,TRIAGE_AGE,ALL,65-74,ALL,546,43.28,14.0,117.0,372.98,222.0,704.0,0.234432
TRIAGE_AGE|ALL|75+|ALL,TRIAGE_AGE,ALL,75+,ALL,582,28.0,10.0,71.0,345.72,227.0,577.0,0.333333
TRIAGE_AGE_HOUR|1|0-17|10,TRIAGE_AGE_HOUR,1,0-17,10,1,45.0,45.0,45.0,143.0,143.0,143.0,0.0
TRIAGE_AGE_HOUR|1|0-17|11,TRIAGE_AGE_HOUR,1,0-17,11,2,43.5,43.5,76.0,368.5,368.5,589.0,0.0
TRIAGE_AGE_HOUR|1|0-17|13,TRIAGE_AGE_HOUR,1,0-17,13,2,25.5,25.5,34.0,260.0,260.0,388.0,0.0
TRIAGE_AGE_HOUR|1|0-17|14,TRIAGE_AGE_HOUR,1,0-17,14,1,148.0,148.0,148.0,201.0,201.0,201.0,0.0
TRIAGE_AGE_HOUR|1|0-17|16,TRIAGE_AGE_HOUR,1,0-17,16,1,45.0,45.0,45.0,136.0,136.0,136.0,0.0
TRIAGE_AGE_HOUR|1|0-17|19,TRIAGE_AGE_HOUR,1,0-17,19,2,6.5,6.5,10.0,49.0,49.0,83.0,0.5
TRIAGE_AGE_HOUR|1|0-17|22,TRIAGE_AGE_HOUR,1,0-17,22,1,2.0,2.0,2.0,180.0,180.0,180.0,0.0
TRIAGE_AGE_HOUR|1|0-17|7,TRIAGE_AGE_HOUR,1,0-17,7,1,49.0,49.0,49.0,280.0,280.0,280.0,0.0
TRIAGE_AGE_HOUR|1|18-44|0,TRIAGE_AGE_HOUR,1,18-44,0,2,14.0,14.0,14.0,313.5,313.5,547.0,0.5
TRIAGE_AGE_HOUR|1|18-44|1,TRIAGE_AGE_HOUR,1,18-44,1,2,5.0,5.0,8.0,249.0,249.0,380.0,1.0
TRIAGE_AGE_HOUR|1|18-44|10,TRIAGE_AGE_HOUR,1,18-44,10,3,5.33,5.0,10.0,296.0,292.0,411.0,0.333333
TRIAGE_AGE_HOUR|1|18-44|11,TRIAGE_AGE_HOUR,1,18-44,11,2,22.0,22.0,22.0,301.0,301.0,301.0,0.0
TRIAGE_AGE_HOUR|1|18-44|13,TRIAGE_AGE_HOUR,1,18-44,13,3,32.5,32.5,62.0,619.33,396.0,1397.0,0.666667
TRIAGE_AGE_HOUR|1|18-44|14,TRIAGE_AGE_HOUR,1,18-44,14,2,198.0,198.0,373.0,191.0,191.0,191.0,0.5
TRIAGE_AGE_HOUR|1|18-44|15,TRIAGE_AGE_HOUR,1,18-44,15,1,4.0,4.0,4.0,79.0,79.0,79.0,0.0
TRIAGE_AGE_HOUR|1|18-44|16,TRIAGE_AGE_HOUR,1,18-44,16,1,22.0,22.0,22.0,471.0,471.0,471.0,0.0
TRIAGE_AGE_HOUR|1|18-44|17,TRIAGE_AGE_HOUR,1,18-44,17,3,18.33,7.0,48.0,648.0,403.0,1262.0,0.666667
TRIAGE_AGE_HOUR|1|18-44|18,TRIAGE_AGE_HOUR,1,18-44,18,2,,,,351.0,351.0,351.0,0.5
TRIAGE_AGE_HOUR|1|18-44|19,TRIAGE_AGE_HOUR,1,18-44,19,2,17.0,17.0,33.0,368.0,368.0,636.0,0.5
TRIAGE_AGE_HOUR|1|18-44|2,TRIAGE_AGE_HOUR,1,18-44,2,1,34.0,34.0,34.0,345.0,345.0,345.0,0.0
TRIAGE_AGE_HOUR|1|18-44|20,TRIAGE_AGE_HOUR,1,18-44,20,1,3.0,3.0,3.0,245.0,245.0,245.0,1.0
TRIAGE_AGE_HOUR|1|18-44|21,TRIAGE_AGE_HOUR,1,18-44,21,1,8.0,8.0,8.0,74.0,74.0,74.0,1.0
TRIAGE_AGE_HOUR|1|18-44|22,TRIAGE_AGE_HOUR,1,18-44,22,3,11.33,2.0,32.0,248.0,229.0,287.0,1.0
TRIAGE_AGE_HOUR|1|18-44|23,TRIAGE_AGE_HOUR,1,18-44,23,1,29.0,29.0,29.0,966.0,966.0,966.0,1.0
TRIAGE_AGE_HOUR|1|18-44|4,TRIAGE_AGE_HOUR,1,18-44,4,2,21.0,21.0,39.0,146.0,146.0,263.0,0.5
TRIAGE_AGE_HOUR|1|18-44|5,TRIAGE_AGE_HOUR,1,18-44,5,1,22.0,22.0,22.0,67.0,67.0,67.0,0.0
TRIAGE_AGE_HOUR|1|18-44|6,TRIAGE_AGE_HOUR,1,18-44,6,2,0.5,0.5,1.0,192.0,192.0,251.0,0.0
TRIAGE_AGE_HOUR|1|18-44|7,TRIAGE_AGE_HOUR,1,18-44,7,1,0.0,0.0,0.0,87.0,87.0,87.0,1.0
TRIAGE_AGE_HOUR|1|18-44|8,TRIAGE_AGE_HOUR,1,18-44,8,1,4.0,4.0,4.0,372.0,372.0,372.0,1.0
TRIAGE_AGE_HOUR|1|18-44|9,TRIAGE_AGE_HOUR,1,18-44,9,2,8.5,8.5,12.0,68.0,68.0,86.0,0.0
TRIAGE_AGE_HOUR|1|18-44|ALL,TRIAGE_AGE_HOUR,1,18-44,ALL,6,,,,,,,0.0
TRIAGE_AGE_HOUR|1|45-64|11,TRIAGE_AGE_HOUR,1,45-64,11,2,22.5,22.5,37.0,469.0,469.0,678.0,1.0
TRIAGE_AGE_HOUR|1|45-64|12,TRIAGE_AGE_HOUR,1,45-64,12,1,5.0,5.0,5.0,272.0,272.0,272.0,1.0
TRIAGE_AGE_HOUR|1|45-64|13,TRIAGE_AGE_HOUR,1,45-64,13,3,38.5,38.5,56.0,752.33,539.0,1273.0,0.0
TRIAGE_AGE_HOUR|1|45-64|14,TRIAGE_AGE_HOUR,1,45-64,14,2,8.5,8.5,12.0,702.0,702.0,1060.0,0.5
TRIAGE_AGE_HOUR|1|45-64|15,TRIAGE_AGE_HOUR,1,45-64,15,1,,,,237.0,237.0,237.0,0.0
TRIAGE_AGE_HOUR|1|45-64|17,TRIAGE_AGE_HOUR,1,45-64,17,2,33.5,33.5,63.0,337.5,337.5,351.0,1.0
TRIAGE_AGE_HOUR|1|45-64|18,TRIAGE_AGE_HOUR,1,45-64,18,2,0.5,0.5,1.0,483.5,483.5,497.0,0.5
TRIAGE_AGE_HOUR|1|45-64|19,TRIAGE_AGE_HOUR,1,45-64,19,1,4.0,4.0,4.0,74.0,74.0,74.0,1.0
TRIAGE_AGE_HOUR|1|45-64|20,TRIAGE_AGE_HOUR,1,45-64,20,2,3.0,3.0,4.0,168.0,168.0,234.0,0.5
TRIAGE_AGE_HOUR|1|45-64|22,TRIAGE_AGE_HOUR,1,45-64,22,3,27.5,27.5,55.0,496.5,496.5,912.0,0.333333
TRIAGE_AGE_HOUR|1|45-64|23,TRIAGE_AGE_HOUR,1,45-64,23,4,8.67,4.0,20.0,582.5,659.5,846.0,0.25
TRIAGE_AGE_HOUR|1|45-64|3,TRIAGE_AGE_HOUR,1,45-64,3,1,12.0,12.0,12.0,219.0,219.0,219.0,0.0
TRIAGE_AGE_HOUR|1|45-64|5,TRIAGE_AGE_HOUR,1,45-64,5,3,20.0,20.0,20.0,1969.0,1969.0,1969.0,0.0
TRIAGE_AGE_HOUR|1|45-64|6,TRIAGE_AGE_HOUR,1,45-64,6,1,5.0,5.0,5.0,189.0,189.0,189.0,1.0
TRIAGE_AGE_HOUR|1|45-64|8,TRIAGE_AGE_HOUR,1,45-64,8,1,43.0,43.0,43.0,143.0,143.0,143.0,0.0
TRIAGE_AGE_HOUR|1|45-64|9,TRIAGE_AGE_HOUR,1,45-64,9,2,35.0,35.0,50.0,492.0,492.0,585.0,0.5
TRIAGE_AGE_HOUR|1|45-64|ALL,TRIAGE_AGE_HOUR,1,45-64,ALL,1,,,,,,,0.0
TRIAGE_AGE_HOUR|1|65-74|10,TRIAGE_AGE_HOUR,1,65-74,10,3,,,,1690.0,130.0,4857.0,0.666667
TRIAGE_AGE_HOUR|1|65-74|11,TRIAGE_AGE_HOUR,1,65-74,11,2,122.0,122.0,238.0,327.5,327.5,524.0,0.0
TRIAGE_AGE_HOUR|1|65-74|12,TRIAGE_AGE_HOUR,1,65-74,12,2,3.5,3.5,4.0,146.0,146.0,197.0,0.5
TRIAGE_AGE_HOUR|1|65-74|14,TRIAGE_AGE_HOUR,1,65-74,14,3,15.0,15.0,30.0,893.33,766.0,1535.0,1.0
TRIAGE_AGE_HOUR|1|65-74|15,TRIAGE_AGE_HOUR,1,65-74,15,1,,,,369.0,369.0,369.0,0.0
TRIAGE_AGE_HOUR|1|65-74|20,TRIAGE_AGE_HOUR,1,65-74,20,1,4.0,4.0,4.0,179.0,179.0,179.0,0.0
TRIAGE_AGE_HOUR|1|65-74|21,TRIAGE_AGE_HOUR,1,65-74,21,1,23.0,23.0,23.0,,,,1.0
TRIAGE_AGE_HOUR|1|65-74|4,TRIAGE_AGE_HOUR,1,65-74,4,1,0.0,0.0,0.0,786.0,786.0,786.0,1.0
TRIAGE_AGE_HOUR|1|65-74|6,TRIAGE_AGE_HOUR,1,65-74,6,1,0.0,0.0,0.0,237.0,237.0,237.0,1.0
TRIAGE_AGE_HOUR|1|65-74|7,TRIAGE_AGE_HOUR,1,65-74,7,1,10.0,10.0,10.0,,,,0.0
TRIAGE_AGE_HOUR|1|65-74|8,TRIAGE_AGE_HOUR,1,65-74,8,1,2.0,2.0,2.0,135.0,135.0,135.0,0.0
TRIAGE_AGE_HOUR|1|75+|0,TRIAGE_AGE_HOUR,1,75+,0,1,9.0,9.0,9.0,981.0,981.0,981.0,1.0
TRIAGE_AGE_HOUR|1|75+|1,TRIAGE_AGE_HOUR,1,75+,1,2,19.5,19.5,21.0,458.5,458.5,846.0,1.0
TRIAGE_AGE_HOUR|1|75+|10,TRIAGE_AGE_HOUR,1,75+,10,2,1.0,1.0,1.0,981.5,981.5,1144.0,0.5
TRIAGE_AGE_HOUR|1|75+|11,TRIAGE_AGE_HOUR,1,75+,11,1,0.0,0.0,0.0,714.0,714.0,714.0,1.0
TRIAGE_AGE_HOUR|1|75+|13,TRIAGE_AGE_HOUR,1,75+,13,3,7.0,7.0,10.0,155.67,166.0,176.0,1.0
TRIAGE_AGE_HOUR|1|75+|14,TRIAGE_AGE_HOUR,1,75+,14,1,245.0,245.0,245.0,637.0,637.0,637.0,0.0
TRIAGE_AGE_HOUR|1|75+|15,TRIAGE_AGE_HOUR,1,75+,15,2,35.0,35.0,56.0,711.0,711.0,1125.0,0.5
TRIAGE_AGE_HOUR|1|75+|16,TRIAGE_AGE_HOUR,1,75+,16,1,16.0,16.0,16.0,1391.0,1391.0,1391.0,1.0
TRIAGE_AGE_HOUR|1|75+|17,TRIAGE_AGE_HOUR,1,75+,17,5,22.0,16.0,62.0,722.6,746.0,1349.0,0.2
TRIAGE_AGE_HOUR|1|75+|18,TRIAGE_AGE_HOUR,1,75+,18,2,51.5,51.5,102.0,1563.5,1563.5,2824.0,1.0
TRIAGE_AGE_HOUR|1|75+|19,TRIAGE_AGE_HOUR,1,75+,19,1,24.0,24.0,24.0,380.0,380.0,380.0,1.0
TRIAGE_AGE_HOUR|1|75+|21,TRIAGE_AGE_HOUR,1,75+,21,3,3.33,4.0,6.0,2053.0,2053.0,4070.0,0.666667
TRIAGE_AGE_HOUR|1|75+|22,TRIAGE_AGE_HOUR,1,75+,22,1,1.0,1.0,1.0,87.0,87.0,87.0,1.0
TRIAGE_AGE_HOUR|1|75+|4,TRIAGE_AGE_HOUR,1,75+,4,1,4.0,4.0,4.0,3388.0,3388.0,3388.0,1.0
TRIAGE_AGE_HOUR|1|75+|5,TRIAGE_AGE_HOUR,1,75+,5,1,19.0,19.0,19.0,157.0,157.0,157.0,0.0
TRIAGE_AGE_HOUR|1|75+|6,TRIAGE_AGE_HOUR,1,75+,6,2,22.0,22.0,22.0,882.0,882.0,1271.0,0.5
TRIAGE_AGE_HOUR|1|75+|7,TRIAGE_AGE_HOUR,1,75+,7,1,11.0,11.0,11.0,92.0,92.0,92.0,0.0
TRIAGE_AGE_HOUR|1|75+|8,TRIAGE_AGE_HOUR,1,75+,8,1,9.0,9.0,9.0,295.0,295.0,295.0,0.0
TRIAGE_AGE_HOUR|1|75+|9,TRIAGE_AGE_HOUR,1,75+,9,3,21.0,21.0,35.0,204.5,204.5,224.0,0.333333
TRIAGE_AGE_HOUR|2|0-17|0,TRIAGE_AGE_HOUR,2,0-17,0,4,33.33,7.0,91.0,261.75,226.5,441.0,0.25
TRIAGE_AGE_HOUR|2|0-17|1,TRIAGE_AGE_HOUR,2,0-17,1,6,15.0,12.5,13.0,314.5,206.0,306.0,0.333333
TRIAGE_AGE_HOUR|2|0-17|10,TRIAGE_AGE_HOUR,2,0-17,10,5,63.75,55.0,130.0,193.2,137.0,383.0,0.2
TRIAGE_AGE_HOUR|2|0-17|11,TRIAGE_AGE_HOUR,2,0-17,11,15,30.55,17.0,56.0,309.27,264.0,428.0,0.0
TRIAGE_AGE_HOUR|2|0-17|12,TRIAGE_AGE_HOUR,2,0-17,12,8,50.0,30.0,68.0,299.25,268.5,418.0,0.125
TRIAGE_AGE_HOUR|2|0-17|13,TRIAGE_AGE_HOUR,2,0-17,13,13,22.36,20.0,38.0,245.15,273.0,437.0,0.076923
TRIAGE_AGE_HOUR|2|0-17|14,TRIAGE_AGE_HOUR,2,0-17,14,7,14.57,13.0,28.0,230.71,167.0,358.0,0.142857
TRIAGE_AGE_HOUR|2|0-17|15,TRIAGE_AGE_HOUR,2,0-17,15,10,38.12,21.5,99.0,222.5,199.0,371.0,0.3
TRIAGE_AGE_HOUR|2|0-17|16,TRIAGE_AGE_HOUR,2,0-17,16,12,25.08,18.5,67.0,798.83,241.0,2743.0,0.25
TRIAGE_AGE_HOUR|2|0-17|17,TRIAGE_AGE_HOUR,2,0-17,17,18,39.07,27.0,95.0,491.76,288.0,403.0,0.166667
TRIAGE_AGE_HOUR|2|0-17|18,TRIAGE_AGE_HOUR,2,0-17,18,11,50.56,49.0,84.0,298.91,192.0,391.0,0.090909
TRIAGE_AGE_HOUR|2|0-17|19,TRIAGE_AGE_HOUR,2,0-17,19,17,10.73,7.0,25.0,278.12,189.5,499.0,0.117647
TRIAGE_AGE_HOUR|2|0-17|2,TRIAGE_AGE_HOUR,2,0-17,2,2,19.0,19.0,19.0,592.5,592.5,734.0,0.5
TRIAGE_AGE_HOUR|2|0-17|20,TRIAGE_AGE_HOUR,2,0-17,20,9,28.14,19.0,51.0,481.0,372.0,835.0,0.444444
TRIAGE_AGE_HOUR|2|0-17|21,TRIAGE_AGE_HOUR,2,0-17,21,11,38.6,16.0,108.0,253.36,210.0,323.0,0.181818
TRIAGE_AGE_HOUR|2|0-17|22,TRIAGE_AGE_HOUR,2,0-17,22,9,30.86,30.0,31.0,395.0,237.0,832.0,0.222222
TRIAGE_AGE_HOUR|2|0-17|23,TRIAGE_AGE_HOUR,2,0-17,23,7,53.0,22.0,207.0,210.17,222.0,253.0,0.285714
TRIAGE_AGE_HOUR|2|0-17|3,TRIAGE_AGE_HOUR,2,0-17,3,7,21.6,15.0,70.0,410.14,365.0,718.0,0.428571
TRIAGE_AGE_HOUR|2|0-17|4,TRIAGE_AGE_HOUR,2,0-17,4,1,21.0,21.0,21.0,1163.0,1163.0,1163.0,1.0
TRIAGE_AGE_HOUR|2|0-17|5,TRIAGE_AGE_HOUR,2,0-17,5,3,16.0,16.0,17.0,327.0,244.0,540.0,0.333333
TRIAGE_AGE_HOUR|2|0-17|6,TRIAGE_AGE_HOUR,2,0-17,6,3,13.5,13.5,15.0,410.0,268.0,874.0,0.666667
TRIAGE_AGE_HOUR|2|0-17|7,TRIAGE_AGE_HOUR,2,0-17,7,6,9.2,8.0,24.0,307.0,359.0,411.0,0.333333
TRIAGE_AGE_HOUR|2|0-17|8,TRIAGE_AGE_HOUR,2,0-17,8,6,19.75,17.0,36.0,229.17,222.5,279.0,0.0
TRIAGE_AGE_HOUR|2|0-17|9,TRIAGE_AGE_HOUR,2,0-17,9,9,16.44,12.0,37.0,511.67,378.0,739.0,0.222222
TRIAGE_AGE_HOUR|2|0-17|ALL,TRIAGE_AGE_HOUR,2,0-17,ALL,2,,,,,,,0.5
TRIAGE_AGE_HOUR|2|18-44|0,TRIAGE_AGE_HOUR,2,18-44,0,13,15.38,6.5,40.0,280.69,234.0,639.0,0.153846
TRIAGE_AGE_HOUR|2|18-44|1,TRIAGE_AGE_HOUR,2,18-44,1,12,43.82,31.0,64.0,352.91,293.0,619.0,0.25
TRIAGE_AGE_HOUR|2|18-44|10,TRIAGE_AGE_HOUR,2,18-44,10,21,50.59,16.0,59.0,611.26,433.0,1350.0,0.190476
TRIAGE_AGE_HOUR|2|18-44|11,TRIAGE_AGE_HOUR,2,18-44,11,20,34.94,12.0,50.0,446.15,299.5,676.0,0.15
TRIAGE_AGE_HOUR|2|18-44|12,TRIAGE_AGE_HOUR,2,18-44,12,28,32.57,18.0,75.0,347.11,210.0,617.0,0.178571
TRIAGE_AGE_HOUR|2|18-44|13,TRIAGE_AGE_HOUR,2,18-44,13,21,15.06,11.0,25.0,551.76,394.0,992.0,0.190476
TRIAGE_AGE_HOUR|2|18-44|14,TRIAGE_AGE_HOUR,2,18-44,14,20,48.7,8.5,158.0,324.05,249.0,515.0,0.05
TRIAGE_AGE_HOUR|2|18-44|15,TRIAGE_AGE_HOUR,2,18-44,15,33,22.93,16.0,43.0,517.44,279.5,990.0,0.424242
TRIAGE_AGE_HOUR|2|18-44|16,TRIAGE_AGE_HOUR,2,18-44,16,24,19.4,11.5,40.0,377.91,299.0,740.0,0.25
TRIAGE_AGE_HOUR|2|18-44|17,TRIAGE_AGE_HOUR,2,18-44,17,29,36.04,11.0,64.0,456.48,221.0,1149.0,0.137931
TRIAGE_AGE_HOUR|2|18-44|18,TRIAGE_AGE_HOUR,2,18-44,18,31,25.44,14.0,42.0,509.74,264.0,1064.0,0.129032
TRIAGE_AGE_HOUR|2|18-44|19,TRIAGE_AGE_HOUR,2,18-44,19,26,26.21,11.0,83.0,597.84,332.0,1334.0,0.115385
TRIAGE_AGE_HOUR|2|18-44|2,TRIAGE_AGE_HOUR,2,18-44,2,13,14.11,11.0,28.0,421.42,196.0,1068.0,0.076923
TRIAGE_AGE_HOUR|2|18-44|20,TRIAGE_AGE_HOUR,2,18-44,20,26,36.89,14.0,111.0,666.15,216.0,1573.0,0.076923
TRIAGE_AGE_HOUR|2|18-44|21,TRIAGE_AGE_HOUR,2,18-44,21,30,31.92,10.5,82.0,319.97,229.0,626.0,0.266667
TRIAGE_AGE_HOUR|2|18-44|22,TRIAGE_AGE_HOUR,2,18-44,22,17,15.86,6.5,50.0,391.56,336.0,828.0,0.176471
TRIAGE_AGE_HOUR|2|18-44|23,TRIAGE_AGE_HOUR,2,18-44,23,10,11.14,11.0,15.0,388.22,225.0,759.0,0.3
TRIAGE_AGE_HOUR|2|18-44|3,TRIAGE_AGE_HOUR,2,18-44,3,10,8.56,5.0,10.0,630.3,486.0,724.0,0.0
TRIAGE_AGE_HOUR|2|18-44|4,TRIAGE_AGE_HOUR,2,18-44,4,8,45.57,5.0,38.0,632.43,341.0,797.0,0.25
TRIAGE_AGE_HOUR|2|18-44|5,TRIAGE_AGE_HOUR,2,18-44,5,6,18.2,7.0,43.0,1150.83,481.0,1004.0,0.0
TRIAGE_AGE_HOUR|2|18-44|6,TRIAGE_AGE_HOUR,2,18-44,6,12,14.8,4.0,47.0,528.33,334.5,1153.0,0.25
TRIAGE_AGE_HOUR|2|18-44|7,TRIAGE_AGE_HOUR,2,18-44,7,8,105.0,14.5,56.0,330.62,216.0,653.0,0.125
TRIAGE_AGE_HOUR|2|18-44|8,TRIAGE_AGE_HOUR,2,18-44,8,19,15.93,7.5,46.0,315.53,291.0,610.0,0.210526
TRIAGE_AGE_HOUR|2|18-44|9,TRIAGE_AGE_HOUR,2,18-44,9,12,15.09,15.0,24.0,501.33,274.5,596.0,0.083333
TRIAGE_AGE_HOUR|2|18-44|ALL,TRIAGE_AGE_HOUR,2,18-44,ALL,3,,,,,,,0.0
TRIAGE_AGE_HOUR|2|45-64|0,TRIAGE_AGE_HOUR,2,45-64,0,10,18.75,6.5,12.0,539.5,333.5,714.0,0.2
TRIAGE_AGE_HOUR|2|45-64|1,TRIAGE_AGE_HOUR,2,45-64,1,11,93.38,33.0,97.0,426.09,197.0,835.0,0.272727
TRIAGE_AGE_HOUR|2|45-64|10,TRIAGE_AGE_HOUR,2,45-64,10,23,25.1,14.0,58.0,1077.14,583.0,1934.0,0.478261
TRIAGE_AGE_HOUR|2|45-64|11,TRIAGE_AGE_HOUR,2,45-64,11,35,29.96,18.0,65.0,481.06,306.0,1182.0,0.342857
TRIAGE_AGE_HOUR|2|45-64|12,TRIAGE_AGE_HOUR,2,45-64,12,33,29.43,15.5,89.0,531.03,400.0,1015.0,0.484848
TRIAGE_AGE_HOUR|2|45-64|13,TRIAGE_AGE_HOUR,2,45-64,13,27,16.62,7.5,52.0,408.77,298.5,500.0,0.37037
TRIAGE_AGE_HOUR|2|45-64|14,TRIAGE_AGE_HOUR,2,45-64,14,35,48.12,16.0,105.0,500.85,392.5,1119.0,0.457143
TRIAGE_AGE_HOUR|2|45-64|15,TRIAGE_AGE_HOUR,2,45-64,15,21,24.74,15.0,37.0,554.71,295.0,503.0,0.333333
TRIAGE_AGE_HOUR|2|45-64|16,TRIAGE_AGE_HOUR,2,45-64,16,17,31.94,15.5,74.0,356.38,258.5,741.0,0.470588
TRIAGE_AGE_HOUR|2|45-64|17,TRIAGE_AGE_HOUR,2,45-64,17,23,26.3,13.5,64.0,576.27,324.5,1333.0,0.434783
TRIAGE_AGE_HOUR|2|45-64|18,TRIAGE_AGE_HOUR,2,45-64,18,27,15.92,11.0,33.0,638.92,339.0,1543.0,0.407407
TRIAGE_AGE_HOUR|2|45-64|19,TRIAGE_AGE_HOUR,2,45-64,19,21,48.06,25.5,89.0,360.67,208.0,836.0,0.428571
TRIAGE_AGE_HOUR|2|45-64|2,TRIAGE_AGE_HOUR,2,45-64,2,7,5.75,4.5,14.0,380.29,188.0,559.0,0.142857
TRIAGE_AGE_HOUR|2|45-64|20,TRIAGE_AGE_HOUR,2,45-64,20,14,34.08,6.0,69.0,771.86,301.5,1140.0,0.428571
TRIAGE_AGE_HOUR|2|45-64|21,TRIAGE_AGE_HOUR,2,45-64,21,19,19.44,11.0,62.0,392.79,217.0,715.0,0.368421
TRIAGE_AGE_HOUR|2|45-64|22,TRIAGE_AGE_HOUR,2,45-64,22,13,11.8,4.0,31.0,570.58,285.0,897.0,0.538462
